SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
539229,MRSS        ,M ,Q,296.00,296.00,288.90,295.05,295.05,297.00,5,6000,1762740.00,
539251,BALKRISHNA  ,T ,Q,82.00,82.00,79.10,79.85,79.10,81.25,61,6983,559867.00,
539252,SCFL        ,T ,Q,11.50,11.90,11.30,11.30,11.30,11.48,35,9277,107064.00,
539254,ADANITRANS  ,A ,Q,209.55,213.00,206.10,207.35,207.55,209.25,842,68005,14240967.00,
539255,STARDELTA   ,X ,Q,158.20,160.00,144.20,157.25,160.00,158.35,20,4787,727678.00,
539268,SYNGENE     ,A ,Q,598.20,601.95,593.60,598.60,600.00,594.25,314,5407,3225379.00,
539274,BLFL        ,XT,Q,12.30,12.30,12.30,12.30,12.30,11.76,1,405,4981.00,
539275,MSL         ,M ,Q,141.00,141.00,115.00,115.75,115.90,117.50,17,27000,3253125.00,
539276,KAYA        ,B ,Q,1018.90,1047.35,989.05,1006.75,1005.00,1032.65,234,2614,2645783.00,
539278,SYMBIOX     ,XT,Q,1.95,1.99,1.86,1.94,1.94,1.95,28,15565,29852.00,
539287,ORTINLAABS  ,T ,Q,20.05,21.45,19.80,20.25,19.80,20.45,39,12306,250448.00,
539289,MJCO        ,B ,Q,544.25,557.00,518.05,547.10,547.10,542.70,991,26134,14133845.00,
539290,BINDALAGRO  ,B ,Q,33.80,37.00,32.85,34.15,34.15,33.00,755,104338,3702794.00,
539291,OZONEWORLD  ,X ,Q,28.80,28.80,27.80,27.90,27.80,29.25,2,9,251.00,
539300,AKSPINTEX   ,X ,Q,42.35,42.35,38.35,38.35,38.35,40.35,7,200,7682.00,
539301,ARVSMART    ,B ,Q,200.20,204.90,196.50,197.10,197.00,197.85,156,6137,1221724.00,
539302,POWERMECH   ,B ,Q,831.40,831.60,810.20,815.35,815.05,816.00,77,1200,986596.00,
539309,RAMASTEEL   ,T ,Q,260.00,269.95,257.00,262.95,262.10,260.50,46,2479,647555.00,
539311,NFIL        ,XT,Q,14.70,14.70,14.00,14.00,14.00,14.00,16,11300,161300.00,
539312,UTISENSETF  ,B ,Q,368.00,368.00,366.55,368.00,368.00,375.00,3,78,28702.00,
539331,VETO        ,B ,Q,221.25,226.00,218.20,219.40,219.40,218.35,369,33845,7469564.00,
539332,NAVKARCORP  ,A ,Q,182.90,187.40,179.00,182.90,182.90,179.70,1454,110703,20402831.00,
539333,PENPEBS     ,B ,Q,102.90,102.90,97.00,98.60,98.60,99.70,112,10215,1006871.00,
539334,SHREEPUSHK  ,B ,Q,276.50,287.00,270.00,284.10,284.10,275.90,631,20667,5737180.00,
